0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.01,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.02,1,0.999889,9001
0.04,1,0.999333,9001
0.04,1,0.998445,9001
0.04,1,0.999778,9001
0.04,1,0.999222,9001
0.04,1,0.997778,9001
0.04,1,0.996112,9001
0.04,1,0.997,9001
0.04,1,0.999556,9001
0.04,1,0.998222,9001
0.04,1,0.995556,9001
0.06,1,0.94034,9001
0.06,1,0.948133,10392
0.06,1,0.945226,9165
0.06,1,0.940698,9949
0.06,1,0.947905,9713
0.06,1,0.941364,10676
0.06,1,0.941899,9604
0.06,1,0.937638,12636
0.06,1,0.942004,12156
0.06,1,0.941432,12413
0.09,1,0.70988,9079
0.09,1,0.716767,9095
0.09,1,0.705068,9314
0.09,1,0.695522,9045
0.09,1,0.708768,10253
0.09,1,0.702548,9773
0.09,1,0.706534,10468
0.09,1,0.710157,10692
0.09,1,0.711087,11969
0.09,1,0.717711,14138
0.12,1,0.549773,9011
0.12,1,0.521032,9771
0.12,1,0.533686,9440
0.12,1,0.523497,9001
0.12,1,0.529858,10684
0.12,1,0.536451,10905
0.12,1,0.525988,12217
0.12,1,0.547578,12285
0.12,1,0.533815,13160
0.12,1,0.543594,13385
0.15,1,0.406495,9053
0.15,1,0.416398,9001
0.15,1,0.419935,9180
0.15,1,0.418731,9001
0.15,1,0.413271,9916
0.15,1,0.422289,11234
0.15,1,0.408755,10828
0.15,1,0.416289,13003
0.15,1,0.433304,11350
0.15,1,0.416539,16325
0.2,1,0.260797,9007
0.2,1,0.266304,9001
0.2,1,0.275972,9106
0.2,1,0.267475,9399
0.2,1,0.271259,9161
0.2,1,0.263988,10080
0.2,1,0.259193,9001
0.2,1,0.258486,10105
0.2,1,0.263763,11480
0.2,1,0.272048,12722
0.25,1,0.211783,9217
0.25,1,0.211156,9197
0.25,1,0.188124,9212
0.25,1,0.189585,9621
0.25,1,0.197998,9788
0.25,1,0.206464,10118
0.25,1,0.213251,10837
